annotated,common_name_correction,broad,order
camel,camel,camel,Artiodactyla
brantacanadensis,canada_goose,goose,anseriformes
canine,canine,canine,carnivora
capeteal,capeteal,duck,anseriformes
cape teal,cape_teal,duck,anseriformes
cascadeduck,cascade_duck,duck,anseriformes
caspiangull,caspian_gull,gull,charadriiformes
caspian tern,caspian_tern,tern,charadriiformes
Caspian Teal,caspian_teal,duck,anseriformes
cat,cat,cat,carnivora
Catalina macaw,catalina_macaw,parrot,psittaciformes
cattleegret,cattle_egret,heron,pelecaniformes
chestnutmunia,chestnut_munia,finch,passeriformes
chestnut_teal,chestnut_teal,duck,anseriformes
broiler,chicken,chicken,galliformes
chiloewigeon,chiloe_wigeon,duck,anseriformes
chinesepondheron,chinese_pond_heron,heron,pelecaniformes
chineseringneckpheasant,chineseringneckpheasant,pheasant,galliformes
Chinese ringneck pheasant,chinese_ringneck_pheasant,pheasant,galliformes
chukar,chukar,partridge,galliformes
anas_cyanoptera,cinnamon_teal,duck,anseriformes
blackbird,common_blackbird,passerine,passeriformes
buteobuteo,common_buzzard,raptor,accipitriformes
commoncoot,common_coot,coot,gruiformes
commoncrane,common_crane,crane,gruiformes
commoneider,common_eider,duck,anseriformes
bucefala_clangula,common_goldeneye,duck,anseriformes
commonmagpie,common_green_magpie,passerine,passeriformes
commongull,common_gull,gull,charadriiformes
hill_myna,common_hill_myna,passerine,passeriformes
commonkestral,common_kestrel,raptor,falconiformes
Common Loon,common_loon,loon,gaviiformes
waterchicken,common_moorhen,moorhen,gruiformes
commonmyna,common_myna,passerine,passeriformes
commonpheasant,common_pheasant,pheasant,galliformes
common_pochard,common_pochard,duck,anseriformes
commonraven,common_raven,passerine,passeriformes
melanitta_nigra,common_scoter,duck,anseriformes
common_shelduck,common_shelduck,duck,anseriformes
commontern,common_tern,tern,charadriiformes
columbapalumbus,common_wood_pigeon,pigeon,columbiformes
condor,condor,raptor,charadriiformes
coopershawk,coopers_hawk,raptor,accipitriformes
coot,coot,coot,gruiformes
cormorant,cormorant,cormorant,suliformes
coyote,coyote,coyote,carnivora
crane,crane,crane,gruiformes
crested_eagle,crested_eagle,raptor,accipitriformes
crestedgoshawk,crested_goshawk,raptor,accipitriformes
crestedmyna,crested_myna,passerine,passeriformes
ccrow,crow,crow,passeriformes
curlew,curlew,wader,charadriiformes
dalmatianpelican,dalmatian_pelican,pelican,pelecaniformes
daurianstarling,daurian_starling,passerine,passeriformes
dolphin,dolphin,dolphin,Artiodactyla
anasplatyrhynchosdomestica,domestic_duck,duck,anseriformes
anseranserdomesticus,domestic_goose,goose,anseriformes
domestic_green-winged_teal,domestic_green-winged_teal,duck,anseriformes
anas_platyrhynchos_var._domesticus,domestic_mallard,duck,anseriformes
donkey,donkey,donkey,"	Perissodactyla"
double-crested_cormorant,double-crested_cormorant,cormorant,suliformes
dove,dove,dove,columbiformes
anas_sp.,duck,duck,anseriformes
calidris_alpina,dunlin,wader,charadriiformes
eagle,eagle,raptor,accipitriformes
easternbuzzard,eastern_buzzard,raptor,accipitriformes
eared grebe,eared_grebe,grebe,podicipediformes
egret,egret,heron,pelecaniformes
egyptiangoose,egyptiangoose,goose,anseriformes
Egyptian goose,egyptian_goose,goose,anseriformes
embdengoose,embden_goose,goose,anseriformes
chen_canagica,emperor_goose,goose,anseriformes
emu,emu,emu,casuariiformes
environment,environment,environment,environmen
eq,equine,equine,equine
Eurasian_coot,eurasian_coot,coot,gruiformes
eurasiancurlew,eurasian_curlew,wader,charadriiformes
eagleowl,eurasian_eagle-owl,owl,strigiformes
otusscops,eurasian_scops_owl,owl,strigiformes
eurasiansparrowhawk,eurasian_sparrowhawk,raptor,accipitriformes
eurasianspoonbill,eurasian_spoonbill,spoonbill,pelecaniformes
common_teal,eurasian_teal,duck,anseriformes
eurasianwigeon,eurasian_wigeon,duck,anseriformes
europeanherringgull,european_herring_gull,gull,charadriiformes
exotic_brid,exotic_bird,avian,avian
falcatedduck,falcated_duck,duck,anseriformes
Fancy chicken,fancy_chicken,chicken,galliformes
falcon,falcon,raptor,falconiformes
cat,feline,feline,carnivora
ferret,ferret,ferret,carnivora
finch,finch,passerine,passeriformes
fowl,fowl,fowl,galliformes
fox,fox,fox,carnivora
fisher,fisher,fisher,carnivora
Franklin's Gull,franklins_gull,gull,charadriiformes
fish crow,fish_crow,crow,passeriformes
gadwall,gadwall,duck,anseriformes
garganey,garganey,duck,anseriformes
anas_querquedula,gargeny,duck,anseriformes
glaucous_gull,glaucous-winged_gull,gull,charadriiformes
goldeneagle,golden_eagle,raptor,accipitriformes
goldenmountainthrush,golden_mountain_thrush,passerine,passeriformes
goldenpheasant,golden_pheasant,pheasant,galliformes
goldeneyeduck,goldeneye,duck,anseriformes
goosander,goosander,duck,anseriformes
domesticgoose,goose,goose,anseriformes
graygull,gray_gull,gull,charadriiformes
Graylag Goose,graylag_goose,goose,anseriformes
greatbarbet,great_barbet,barbet,piciformes
greatblackbackedgull,great_black-backed_gull,gull,charadriiformes
great_cormorant,great_cormorant,cormorant,suliformes
great_created_grebe,great_crested_grebe,grebe,podicipediformes
great_egret,great_egret,heron,pelecaniformes
greathornedowl,great_horned_owl,owl,strigiformes
greattit,great_tit,passerine,passeriformes
greatwhitepelican,great_white_pelican,pelican,pelecaniformes
greatblueheron,great_blue_heron,heron,pelecaniformes
greaterscaup,greater_scaup,duck,anseriformes
anser_albifrons,greater_white-fronted_goose,goose,anseriformes
great-tailed grackle,great_tailed_grackle,grackle,passeriformes
grebe,grebe,grebe,podicipediformes
greenheron,green_heron,heron,pelecaniformes
greenpeafowl,green_peafowl,peafowl,galliformes
americangreen_wingedteal,green-winged_teal,duck,anseriformes
gray-crowedcrane,grey_crowned_crane,crane,gruiformes
greygoose,grey_goose,goose,anseriformes
ardeacinera,grey_heron,heron,pelecaniformes
grey_teal,grey-teal_duck,duck,anseriformes
anseranser,greylag_goose,goose,anseriformes
guinea_fowl,guinea_fowl,guinea_fowl,galliformes
gull,gull,gull,charadriiformes
grey seal,grey_seal,seal,carnivora
harbor_seal,harbor_seal,seal,carnivora
hawaiiangoose,hawaiian_goose,goose,anseriformes
hawk,hawk,raptor,accipitriformes
heron,heron,heron,pelecaniformes
herringgull,herring_gull,gull,charadriiformes
hooded_crane,hooded_crane,crane,gruiformes
hooded_merganser,hooded_merganser,duck,anseriformes
hoodedvulture,hooded_vulture,raptor,accipitriformes
hoabara,houbara_bustard,bustard,otidiformes
housecrow,house_crow,crow,passeriformes
housesparrow,house_sparrow,passerine,passeriformes
indian_runner_duck,indian_runner_duck,duck,anseriformes
japanese_white_eye,japanese_white-eye,passerine,passeriformes
junglecrow,jungle_crow,passerine,passeriformes
kalijpheasant,kalij_pheasant,pheasant,galliformes
kestrel,kestrel,raptor,falconiformes
korean_native_chicken,korean_native_chicken,chicken,galliformes
ladyamherstspheasant,lady_amhersts_pheasant,pheasant,galliformes
large_billedcrow,large-billed_crow,passerine,passeriformes
larus_atricilla,laughing_gull,gull,charadriiformes
lesserblackbackedgull,lesser_black-backed_gull,gull,charadriiformes
lesserkestrel,lesser_kestrel,raptor,falconiformes
lesser_scaup,lesser_scaup,duck,anseriformes
lessersnowgoose,lesser_snow_goose,goose,anseriformes
littlecuckoo-dove,little_cuckoo-dove,dove,columbiformes
egrettagarzetta,little_egret,heron,pelecaniformes
little_grebe,little_grebe,grebe,podicipediformes
littleowl,little_owl,owl,strigiformes
clangula_hyemalis,long-tailed_duck,duck,anseriformes
long-tailedshrike,long-tailed_shrike,passerine,passeriformes
longtail_duck,longtail-duck,duck,anseriformes
magpie,magpie,passerine,passeriformes
magpierobin,magpie-robin,passerine,passeriformes
anas_plathyrhynchos,mallard,duck,anseriformes
mallard-black_duck_hybrid,mallard-black_duck_hybrid,duck,anseriformes
anas_platyrhynchos_x_anas_acuta,mallard-pintail_hybrid,duck,anseriformes
mandarin_duck,mandarin_duck,duck,anseriformes
marabou_stork,marabou_stork,stork,ciconiiformes
Merganser,merganser,duck,anseriformes
migratorybird,migratory_bird,avian,avian
mink,mink,mink,mink
mixedwildbirds,mixed_wild_birds,avian,avian
moorhen,moorhen,moorhen,gruiformes
mountain_hawk_eagle,mountain_hawk-eagle,raptor,accipitriformes
mule_duck,mule_duck,duck,anseriformes
munia,munia,passerine,passeriformes
cairina_moschata,muscovy_duck,duck,anseriformes
cignusolor,mute_swan,goose,anseriformes
mynah,myna,passerine,passeriformes
neotropiccormorant,neotropic_cormorant,cormorant,suliformes
nightingale,nightingale,passerine,passeriformes
morusbassanus,northern_gannet,gannet,suliformes
goshawk,northern_goshawk,raptor,accipitriformes
anas_acuta,northern_pintail,duck,anseriformes
anas_clypeata,northern_shoveler,duck,anseriformes
northwesterncrow,northwestern_crow,crow,passeriformes
babbler,old_world_babbler,passerine,passeriformes
open-billibis,open-billed_ibis,ibis,pelecaniformes
open_bill_stork,open-billed_stork,stork,ciconiiformes
magpie_robin,oriental_magpie-robin,passerine,passeriformes
ostrich,ostrich,ostrich,struthioniformes
osprey,osprey,raptor,accipitriformes
owl,owl,owl,strigiformes
oystercatcher,oystercatcher,wader,charadriiformes
greyduck,pacific_black_duck,duck,anseriformes
pacific_golden_plover,pacific_golden_plover,wader,charadriiformes
psittacine,parrot,parrot,psittaciformes
partridge,partridge,partridge,galliformes
peacefuldove,peaceful_dove,dove,columbiformes
peacock,peacock,peafowl,galliformes
peafowl,peafowl,peafowl,galliformes
white_peckin_duck,pekin_duck,duck,anseriformes
pelican,pelican,pelican,pelecaniformes
falcoperegrinus,peregrine_falcon,raptor,falconiformes
Peruvian_pelican,peruvian_pelican,pelican,pelecaniformes
pet_bird,pet_bird,avian,avian
phalacrocorax,phalacrocorax,cormorant,suliformes
pheasant,pheasant,pheasant,galliformes
feralpigeon,pigeon,pigeon,columbiformes
pink-eared_duck,pink-eared_duck,duck,anseriformes
anserbrachyrhynchus,pink-footed_goose,goose,anseriformes
poultry,poultry,avian,avian
coturnix,quail,quail,galliformes
raccoon,raccoon,raccoon,carnivora
red-billedstarling,read-breasted_starling,passerine,passeriformes
red fox,red_fox,fox,carnivora
calidris_canutus,red_knot,wader,charadriiformes
redbackedhawk,red-backed_hawk,raptor,accipitriformes
rbpochard,red-chested_pochard,duck,anseriformes
netta_rufina,red-crested_pochard,duck,anseriformes
redcrownedcrane,red-crowned_crane,crane,gruiformes
red-fronted_coot,red-fronted_coot,coot,gruiformes
red-gartered_coot,red-gartered_coot,coot,gruiformes
red-necked_grebe,red-necked_grebe,grebe,podicipediformes
red-necked_stint,red-necked_stint,wader,charadriiformes
redshoulderedhawk,red-shouldered_hawk,raptor,accipitriformes
redtailedhawk,red-tailed_hawk,raptor,accipitriformes
redbreastedmerganser,red_breasted_merganser,duck,anseriformes
redhead,redhead_duck,duck,anseriformes
rhea,rhea,rhea,rheiformes
aythya_collaris,ring-necked_duck,duck,anseriformes
ring-necked_pheasant,ring-necked_pheasant,pheasant,galliformes
ring-billed gull,ring-billed_gull,gull,charadriiformes
robin,robin,passerine,passeriformes
rollers,roller,roller,coraciiformes
corvus_frugilegus,rook,passerine,passeriformes
rooster,rooster,chicken,galliformes
roughleggedhawk,rough-legged_hawk,hawk,accipitriformes
Ross's goose,rosss_goose,goose,anseriformes
Royal Tern,royal_tern,tern,charadriiformes
oxyura_jamaicensis,ruddy_duck,duck,anseriformes
rubbyshelduck,ruddy_shelduck,duck,anseriformes
arenaria_interpres,ruddy_turnstone,wader,charadriiformes
saker_falcon,saker_falcon,raptor,falconiformes
calidris_alba,sanderling,wader,charadriiformes
sandpiper,sandpiper,wader,charadriiformes
sandwichtern,sandwich_tern,tern,charadriiformes
Sandhill Crane,sandhill_crane,crane,gruiformes
scaly-breastedmunia,scaly-breasted_munia,passerine,passeriformes
seaeagle,sea_eagle,raptor,accipitriformes
seal,seal,seal,carnivora
sebastopolgoose,sebastopol_goose,goose,anseriformes
calidris_pusilla,semi-palmated_sandpiper,wader,charadriiformes
Sharp-shinned Hawk,sharp-shinned_hawk,hawk,accipitriformes
wedge-tailed_shearwater,shearwater,shearwater,procellariiformes
shorebird,shorebird,wader,charadriiformes
shrike,shrike,passerine,passeriformes
silkiechicken,silkie_chicken,chicken,galliformes
silverpheasant,silver_pheasant,pheasant,galliformes
silver-earedmesia,silver-eared_mesia,passerine,passeriformes
slaty-backedgull,slaty-backed_gull,gull,charadriiformes
mergusalbellus,smew,duck,anseriformes
anser_caerulescens,snow_goose,goose,anseriformes
snowyowl,snowy_owl,owl,strigiformes
snowy egret,snowy_egret,egret,pelecaniformes
songthrush,song_thrush,passerine,passeriformes
sooty_tern,sooty_tern,tern,charadriiformes
sparrow,sparrow,passerine,passeriformes
somateria_fischeri,spectacled_eider,eider,anseriformes
spotbilledduck,spot-billed_duck,duck,anseriformes
spurwingedgoose,spur-winged_goose,goose,anseriformes
spur-wingedlapwing,spur-winged_lapwing,lapwing,charadriiformes
starling,starling,starling,passeriformes
steller's_eider,stellars_eider,duck,anseriformes
stonecurlew,stone_curlew,wader,charadriiformes
skunk,striped_skunk,skunk,carnivora
stork,stork,stork,ciconiiformes
swallow,swallow,swallow,passeriformes
juvenileswan,swan,swan,anseriformes
anser_cygnoides,swan_goose,goose,anseriformes
Swainson's hawk,swainsons_hawk,hawk,accipitriformes
swiftlet,swiftlet,swift,apodiformes
finistere,swine,swine,swine
teal,teal_duck,duck,anseriformes
tree_sparrow,tree_sparrow,passerine,passeriformes
trumpeterswan,trumpeter_swan,swan,anseriformes
aythyafuligula,tufted_duck,duck,anseriformes
cygnus_columbianus,tundra_swan,swan,anseriformes
domesticturkey,turkey,turkey,galliformes
turkey vulture,turkey_vulture,vulture,accipitriformes
turtle_dove,turtle_dove,dove,columbiformes
velvet_scoter,velvet_scoter,duck,anseriformes
vulture,vulture,raptor,accipitriformes
Virginia opossum,virginia_opossum,possum,Didelphimorphia
watercock,watercock,watercock,gruiformes
anseriformes,waterfowl,waterfowl,anseriformes
western gull,western_gull,gull,charadriiformes
Western screech owl,western_screech_owl,owl,strigiformes
whitepeafowl,white_peafowl,peafowl,galliformes
ciconiaciconia,white_stork,stork,ciconiiformes
white-backedmunia,white-backed_munia,passerine,passeriformes
whiteeyedpochard,white-eyed_pochard,duck,anseriformes
dendrocygna_viduata,white-faced_whistling_duck,duck,anseriformes
white-fronted_goose,white-fronted_goose,goose,anseriformes
whitetailedeagle,white-tailed_eagle,raptor,accipitriformes
cygnus_cygnus,whooper_swan,goose,anseriformes
wild mink,wild_mink,mink,carnivora
wild_birds,wild_birds,avian,avian
meleagrisgallopavo,wild_turkey,turkey,galliformes
aix_sponsa,wood_duck,duck,anseriformes
yellow_billed_duck,yellow-billed_duck,duck,anseriformes
anas_georgica,yellow-billed_pintail,duck,anseriformes
yellowleggedgull,yellow-legged_gull,gull,charadriiformes
mallard_duck,mallard_duck,duck,anseriformes
backyard_bird,backyard_bird,chicken,galliformes
redhead,redhead,duck,anseriformes
lesser_snow_goose_white,lesser_snow_goose_white,goose,anseriformes
lesser_snow_goose_blue,lesser_snow_goose_blue,goose,anseriformes
vulpes_vulpes,vulpes_vulpes,fox,carnivora
RT-Hawk,rt-hawk,hawk,accipitriformes
mergus,mergus,duck,anseriformes
skunk,skunk,skunk,carnivora
layer_chicken,layer_chicken,chicken,galliformes
common_eiders,common_eiders,duck,anseriformes
red-breasted_merganser,red-breasted_merganser,duck,anseriformes
blue_winged_teal,blue_winged_teal,duck,anseriformes
green_winged_teal,green_winged_teal,duck,anseriformes
great-tailed_grackle,great-tailed_grackle,crow,passeriformes
coopers_s_hawk,coopers_s_hawk,hawk,accipitriformes
cooperss_hawk,cooperss_hawk,hawk,accipitriformes
glaucous_gull,glaucous_gull,gull,charadriiformes
American Kestrel,american_kestrel,raptor,falconiformes
American robin,american_robin,robin,passeriformes
american_wood_stork,american_wood_stork,stork,ciconiiformes
baers_pochard,baers_pochard,duck,anseriformes
black_turnstone,black_turnstone,wader,charadriiformes
boat-tailed_grackle,boat-tailed_grackle,grackle,passeriformes
bonapartes_gull,bonapartes_gull,gull,charadriiformes
brandts_cormorant,brandts_cormorant,cormorant,suliformes
brant,brant,goose,anseriformes
brazilian_teal,brazilian_teal,duck,anseriformes
broad-winged_hawk,broad-winged_hawk,hawk,accipitriformes
california_condor,california_condor,condor,cathartiformes
california_gull,california_gull,gull,charadriiformes
chilean_flamingo,chilean_flamingo,flamingo,phoenicopteriformes
common_grackle,common_grackle,grackle,passeriformes
common_merganser,common_merganser,duck,anseriformes
crested_caracara,crested_caracara,eagle,falconiformes
crested_screamer,crested_screamer,duck,anseriformes
dark-eyed_junco,dark-eyed_junco,passerine,passeriformes
eastern_screech_owl,eastern_screech_owl,owl,strigiformes
eider,eider,duck,anseriformes
ferruginous_hawk,ferruginous_hawk,hawk,accipitriformes
Forster's tern,forsters_tern,tern,charadriiformes
fulvous_whistling_duck,fulvous_whistling_duck,duck,anseriformes
gannet,gannet,gannet,suliformes
glossy_ibis,glossy_ibis,ibis,pelecaniformes
greater_rhea,greater_rhea,rhea,rheiformes
greater_sage_grouse,greater_sage_grouse,grouse,galliformes
Harris's hawk,harris_hawk,hawk,accipitriformes
horned_grebe,horned_grebe,grebe,podicipediformes
lesser_flamingo,lesser_flamingo,flamingo,phoenicopteriformes
lorikeet,lorikeet,parrot,psittaciformes
merlin,merlin,falcon,falconiformes
mottled_duck,mottled_duck,duck,anseriformes
northern_fulmar,northern_fulmar,seabird,procellariiformes
northern_harrier,northern_harrier,hawk,accipitriformes
pacific_loon,pacific_loon,loon,gaviiformes
parasitic_jaeger,parasitic_jaeger,seabird,charadriiformes
pied-billed_grebe,pied-billed_grebe,grebe,podicipediformes
puna_teal,puna_teal,duck,anseriformes
razorbill,razorbill,seabird,charadriiformes
red-breasted_goose,red-breasted_goose,goose,anseriformes
red-necked_phalarope,red-necked_phalarope,wader,charadriiformes
red-winged_blackbird,red-winged_blackbird,passerine,passeriformes
roseate_spoonbill,roseate_spoonbill,ibis,pelecaniformes
ruffed_grouse,ruffed_grouse,grouse,galliformes
scaly-sided_merganser,scaly-sided_merganser,duck,anseriformes
short-billed_gull,short-billed_gull,gull,charadriiformes
short-eared_owl,short-eared_owl,owl,strigiformes
short-tailed_shearwater,short-tailed_shearwater,seabird,procellariiformes
snowy_plover,snowy_plover,shorebird,charadriiformes
thayers_gull,thayers_gull,gull,charadriiformes
tree_swallow,tree_swallow,passerine,passeriformes
warbler,warbler,passerine,passeriformes
western_grebe,western_grebe,grebe,podicipediformes
white-faced_ibis,white-faced_ibis,ibis,pelecaniformes
white-winged_scoter,white-winged_scoter,duck,anseriformes
willet,willet,shorebird,charadriiformes
african_crowned_crane,african_crowned_crane,crane,gruiformes
