Confirmed	State	County Name	Special Id	Production	1-Apr-22	1-Aug-22	1-Dec-22	1-Feb-23	1-Jul-22	1-Jun-22	1-Mar-23	1-May-22	2-Dec-22	2-Jul-22	2-Jun-22	2-Mar-23	2-Sep-22	3-Apr-23	3-Dec-22	3-Feb-23	3-Jan-23	3-Jun-22	3-Mar-23	3-May-22	3-Nov-22	4-Apr-22	4-Apr-23	4-Jan-23	4-Jun-22	4-Mar-23	4-May-22	4-May-23	4-Nov-22	5-Apr-22	5-Dec-22	5-Jan-23	5-Mar-23	5-May-22	5-Nov-22	5-Oct-22	6-Apr-23	6-Dec-22	6-Jul-22	6-Jun-22	6-May-22	6-Oct-22	6-Sep-22	7-Apr-22	7-Apr-23	7-Dec-22	7-Jun-22	7-May-22	7-Oct-22	8-Apr-23	8-Jun-22	8-Mar-23	8-May-22	8-Nov-22	8-Oct-22	9-Apr-23	9-Dec-22	9-Jun-22	9-Mar-23	9-May-22	10-Apr-23	10-Dec-22	10-Jun-22	10-May-22	10-Nov-22	11-Apr-22	11-Apr-23	11-Aug-22	11-Jun-22	11-May-22	11-Nov-22	11-Oct-22	12-Apr-22	12-Apr-23	12-Dec-22	12-Feb-23	12-Mar-22	12-May-22	12-Oct-22	13-Apr-22	13-Apr-23	13-Dec-22	13-Feb-23	13-Jan-23	13-Jul-22	13-May-22	13-Nov-22	13-Oct-22	14-Apr-22	14-Apr-23	14-Dec-22	14-Jan-23	14-Jul-22	14-Oct-22	15-Apr-22	15-Aug-22	15-Jan-23	15-Mar-22	15-May-22	15-Nov-22	15-Oct-22	15-Sep-22	16-Apr-23	16-Dec-22	16-Feb-23	16-Jun-22	16-May-22	16-Nov-22	17-Jan-23	17-Jun-22	17-Mar-23	17-May-22	17-Nov-22	17-Oct-22	18-Apr-23	18-Feb-23	18-Jan-23	18-Jul-22	18-Jun-22	18-May-22	18-Oct-22	19-Apr-22	19-Apr-23	19-Dec-22	19-Jan-23	19-May-22	19-Nov-22	19-Sep-22	20-Apr-22	20-Dec-22	20-Jan-23	20-May-22	20-Oct-22	21-Apr-22	21-Mar-23	21-May-22	21-Nov-22	21-Oct-22	22-Apr-22	22-Dec-22	22-Mar-23	22-May-22	22-Nov-22	22-Oct-22	22-Sep-22	23-Apr-22	23-Dec-22	23-Feb-23	23-Jan-23	23-Mar-22	23-May-22	24-Apr-22	24-Aug-22	24-Dec-22	24-Jan-23	24-May-22	24-Nov-22	24-Sep-22	25-Apr-22	25-Dec-22	25-Jun-22	25-May-22	25-Nov-22	25-Oct-22	26-Apr-22	26-Dec-22	26-Jan-23	26-Mar-23	26-May-22	26-Oct-22	27-Apr-22	27-Apr-23	27-Dec-22	27-Mar-22	27-May-22	27-Nov-22	27-Oct-22	28-Apr-22	28-Apr-23	28-Dec-22	28-Jan-23	28-May-22	28-Oct-22	28-Sep-22	29-Apr-22	29-Dec-22	29-Nov-22	29-Oct-22	29-Sep-22	30-Apr-22	30-Dec-22	30-Jun-22	30-Oct-22	30-Sep-22	31-Jan-23	31-Mar-23	31-May-22	31-Oct-22	Active	NA
15-Nov-22	Tennessee	Bledsoe	Bledsoe 01	Commercial Broiler Breeder																																														"20,900"																																																																																																																																																										
14-Nov-22	Mississippi	Lowndes	Lowndes 01	WOAH Non-Poultry																																																																																																																																																																																																								8
12-Nov-22	New York	Queens	Queens 01	Live Bird Market																																																																																																																																																																																																							170	
10-Nov-22	Michigan	Lapeer	Lapeer 03	WOAH Poultry																																																																																																																																																																			990																																					
10-Nov-22	North Dakota	Mountrail	Mountrail 01	WOAH Non-Poultry																																																																																																																																																																																																								40
10-Nov-22	North Dakota	Ward	Ward 02	WOAH Poultry																																						20																																																																																																																																																																		
10-Nov-22	Pennsylvania	Lehigh	Lehigh 05	Commercial Turkey Meat Bird															"18,500"																																																																																																																																																																																									
10-Nov-22	Pennsylvania	Lehigh	Lehigh 06	Commercial Turkey Breeder Toms															160																																																																																																																																																																																									
8-Nov-22	Iowa	Louisa	Louisa 01	WOAH Non-Poultry																																																																																																																																																																																																								20
8-Nov-22	Pennsylvania	Lehigh	Lehigh 03	Commercial Turkey Breeder Hens															"7,500"																																																																																																																																																																																									
8-Nov-22	Pennsylvania	Lehigh	Lehigh 04	Commercial Turkey Meat Bird															"17,400"																																																																																																																																																																																									
8-Nov-22	Washington	Snohomish	Snohomish 07	WOAH Non-Poultry																																																																																																																																																																																																								150
7-Nov-22	Ohio	Butler	Butler 01	WOAH Poultry																																																																																																																																																													150																																											
7-Nov-22	Virginia	Gloucester	Gloucester 01	WOAH Non-Poultry																																																																																																																																																																																																								80
7-Nov-22	Wisconsin	Jefferson	Jefferson 02	Commercial Upland Gamebird Producer																																																																																																								"187,900"																																																																																																
7-Nov-22	Wyoming	Converse	Converse 01	WOAH Non-Poultry																																																																																																																																																																																																								20
6-Nov-22	Iowa	Wright	Wright 02	Commercial Table Egg Layer																																																																																																																																																																													"1,022,800"																											
4-Nov-22	Mississippi	Lawrence	Lawrence 01	Commercial Broiler Breeder			"34,400"																																																																																																																																																																																																					
4-Nov-22	New York	Sullivan	Sullivan 01	WOAH Non-Poultry																																																																																																																																																																																																								140
4-Nov-22	Pennsylvania	Dauphin	Dauphin 01	WOAH Non-Poultry																																																																																																																																																																																																								130
4-Nov-22	Pennsylvania	Lehigh	Lehigh 02	Commercial Turkey Meat Bird															"14,500"																																																																																																																																																																																									
3-Nov-22	Arizona	Yavapai	Yavapai 02	WOAH Non-Poultry																																																																																																																																																																																																								30
3-Nov-22	California	San Diego	San Diego 01	WOAH Poultry																																																																																																																															150																																																																									
3-Nov-22	Florida	Broward	Broward 03	WOAH Non-Poultry																																																																																																																																																																																																								70
3-Nov-22	Massachusetts	Middlesex	Middlesex 01	WOAH Non-Poultry																																																																																																																																																																																																								20
3-Nov-22	North Dakota	Bottineau	Bottineau 01	WOAH Poultry																															130																																																																																																																																																																									
3-Nov-22	Oregon	Yamhill	Yamhill 01	WOAH Poultry																																																																																																																																															150																																																									
3-Nov-22	Pennsylvania	Lehigh	Lehigh 01	Commercial Turkey Meat Bird															"28,500"																																																																																																																																																																																									
3-Nov-22	South Carolina	Beaufort	Beaufort 01	WOAH Non-Poultry																																																																																																																																																																																																								170
3-Nov-22	Wisconsin	Marathon	Marathon 01	WOAH Non-Poultry																																																																																																																																																																																																								30
2-Nov-22	Arizona	Yavapai	Yavapai 01	WOAH Non-Poultry																																																																																																																																																																																																								50
2-Nov-22	New Jersey	Bergen	Bergen 01	WOAH Non-Poultry																																																																																																																																																																																																								60
2-Nov-22	Pennsylvania	Allegheny	Allegheny 01	WOAH Non-Poultry																																																																																																																																																																																																								20
2-Nov-22	Wisconsin	Waukesha	Waukesha 01	WOAH Non-Poultry																																																																																																																																																																																																								10
1-Nov-22	Minnesota	Stearns	Stearns 13	Commercial Turkey Meat Bird																																																																																																																															"8,500"																																																																									
1-Nov-22	Montana	Granite	Granite 01	WOAH Poultry																																																																																							40																																																																																																																	
1-Nov-22	New York	Wayne	Wayne 01	WOAH Non-Poultry																																																																																																																																																																																																								10
1-Nov-22	Oregon	Deschutes	Deschutes 07	WOAH Non-Poultry																																																																																																																																																																																																								8
1-Nov-22	South Dakota	Gregory	Gregory 02	Commercial Upland Gamebird Producer																																																																																																																																															"3,000"																																																									
31-Oct-22	Iowa	Wright	Wright 01	Commercial Table Egg Layer									"1,100,000"																																																																																																																																																																																															
31-Oct-22	Minnesota	Swift	Swift 06	Commercial Turkey Meat Bird																																																																																																																																									"45,600"																																																															
31-Oct-22	Tennessee	Tipton	Tipton 01	WOAH Non-Poultry																																																																																																																																																																																																								90
28-Oct-22	Florida	Hillsborough	Hillsborough 01	WOAH Non-Poultry																																																																																																																																																																																																								40
27-Oct-22	Minnesota	Le Sueur	Le Sueur 03	Commercial Turkey Meat Bird																																																																																																																																																																																											"20,100"													
27-Oct-22	Minnesota	Stearns	Stearns 12	Commercial Turkey Meat Bird																																																																																																																	"75,000"																																																																																							
26-Oct-22	Colorado	La Plata	La Plata 03	WOAH Non-Poultry																																																																																																																																																																																																								20
26-Oct-22	Florida	Pasco	Pasco 01	WOAH Non-Poultry																																																																																																																																																																																																								40
25-Oct-22	Florida	Indian River	Indian River 03	WOAH Non-Poultry																																																																																																																																																																																																								30
25-Oct-22	Florida	Indian River	Indian River 04	WOAH Poultry																																																						50																																																																																																																																																		
25-Oct-22	Florida	Lake	Lake 01	WOAH Non-Poultry																																																																																																																																																																																																								9
25-Oct-22	Florida	Martin	Martin 02	WOAH Non-Poultry																																																																																																																																																																																																								30
25-Oct-22	Minnesota	Swift	Swift 05	Commercial Turkey Meat Bird																																																																																																																															"33,800"																																																																									
25-Oct-22	South Dakota	Grant	Grant 01	WOAH Non-Poultry																																																																																																																																																																																																								50
25-Oct-22	Utah	Sanpete	Sanpete 18	Commercial Turkey Meat Bird																																																																																																																	"3,900"																																																																																							
22-Oct-22	New Jersey	Ocean	Ocean 01	WOAH Non-Poultry																																																																																																																																																																																																								90
22-Oct-22	Virginia	Southampton	Southampton 01	WOAH Non-Poultry																																																																																																																																																																																																								170
21-Oct-22	Minnesota	Itasca	Itasca 01	WOAH Non-Poultry																																																																																																																																																																																																								40
21-Oct-22	North Carolina	Wake	Wake 01	WOAH Non-Poultry																																																																																																																																																																																																								170
21-Oct-22	Oklahoma	Cleveland	Cleveland 01	WOAH Non-Poultry																																																																																																																																																																																																								30
20-Oct-22	Colorado	Jefferson	Jefferson 02	WOAH Poultry																					50																																																																																																																																																																																			
20-Oct-22	Florida	Indian River	Indian River 02	WOAH Non-Poultry																																																																																																																																																																																																								60
20-Oct-22	Florida	Okeechobee	Okeechobee 01	WOAH Non-Poultry																																																																																																																																																																																																								2
20-Oct-22	Idaho	Valley	Valley 01	WOAH Non-Poultry																																																																																																																																																																																																								20
20-Oct-22	Iowa	Dallas	Dallas 01	WOAH Non-Poultry																																																																																																																																																																																																								50
20-Oct-22	Montana	Hill	Hill 01	WOAH Non-Poultry																																																																																																																																																																																																								60
20-Oct-22	Oklahoma	Creek	Creek 01	WOAH Non-Poultry																																																																																																																																																																																																								50
20-Oct-22	Rhode Island	Newport	Newport 01	WOAH Non-Poultry																																																																																																																																																																																																								60
20-Oct-22	South Dakota	Spink	Spink 04	WOAH Non-Poultry																																																																																																																																																																																																								160
20-Oct-22	Virginia	Virginia Beach City	Virginia Beach 01	WOAH Non-Poultry																																																																																																																																																																																																								10
19-Oct-22	Kansas	Shawnee	Shawnee 01	WOAH Poultry																																																						120																																																																																																																																																		
19-Oct-22	South Dakota	Roberts	Roberts 01	Commercial Breeder Operation																																																									"3,600"																																																																																																																																															
19-Oct-22	Texas	Rockwall	Rockwall 01	WOAH Non-Poultry																																																																																																																																																																																																								50
19-Oct-22	Utah	Sanpete	Sanpete 17	Commercial Turkey Meat Bird																																																																																																				"9,400"																																																																																																				
18-Oct-22	Florida	Indian River	Indian River 01	WOAH Non-Poultry																																																																																																																																																																																																								300
18-Oct-22	Florida	Osceola	Osceola 02	WOAH Non-Poultry																																																																																																																																																																																																								20
18-Oct-22	Florida	St. Lucie	Saint Lucie 01	WOAH Non-Poultry																																																																																																																																																																																																								6
18-Oct-22	Missouri	Jackson	Jackson 01	WOAH Non-Poultry																																																																																																																																																																																																								40
18-Oct-22	Nebraska	York	York 02	Commercial Upland Gamebird Producer																																																																																																												"34,900"																																																																																												
18-Oct-22	North Dakota	Traill	Traill 01	WOAH Non-Poultry																																																																																																																																																																																																								90
18-Oct-22	Utah	Sanpete	Sanpete 16	Commercial Turkey Meat Bird																																																																																																																																																																						"100,800"																																		
17-Oct-22	Nevada	Nye	Nye 01	WOAH Poultry																																																																																																																																																																																																							"1,600"	
17-Oct-22	Pennsylvania	Adams	Adams 02	Commercial Turkey Meat Bird																																																						"15,100"																																																																																																																																																		
14-Oct-22	Alaska	Matanuska Susitna	Matanuska-Susitna 04	WOAH Poultry																																																																																																																																																																																	"1,000"																							
14-Oct-22	Arkansas	Pope	Pope 01	WOAH Non-Poultry																																																																																																																																																																																																								470
14-Oct-22	Colorado	La Plata	La Plata 02	WOAH Non-Poultry																																																																																																																																																																																																								40
14-Oct-22	Colorado	Larimer	Larimer 01	WOAH Non-Poultry																																																																																																																																																																																																								20
14-Oct-22	Florida	Broward	Broward 02	WOAH Poultry																																																						300																																																																																																																																																		
14-Oct-22	Oklahoma	Tulsa	Tulsa 01	WOAH Non-Poultry																																																																																																																																																																																																								30
13-Oct-22	California	Stanislaus	Stanislaus 02	Commercial Turkey Meat Bird																																																																																																																																																																																																						"54,900"		
13-Oct-22	New Jersey	Warren	Warren 01	WOAH Non-Poultry																																																																																																																																																																																																								6
13-Oct-22	Utah	Sanpete	Sanpete 15	Commercial Turkey Meat Bird																																																																																																																																																																																"100,000"																								
13-Oct-22	Wisconsin	Saint Croix	St. Croix 01	WOAH Non-Poultry																																																																																																																																																																																																								20
12-Oct-22	Colorado	Weld	Weld 05	WOAH Non-Poultry																																																																																																																																																																																																								40
12-Oct-22	Michigan	Genesee	Genesee 01	WOAH Non-Poultry																																																																																																																																																																																																								20
12-Oct-22	South Dakota	Beadle	Beadle 05	Commercial Turkey Meat Bird																																																						"71,400"																																																																																																																																																		
12-Oct-22	South Dakota	Hamlin	Hamlin 02	WOAH Non-Poultry																																																																																																																																																																																																								20
12-Oct-22	Utah	Sanpete	Sanpete 14	Commercial Turkey Meat Bird																																																																																																																																																																"52,800"																																								
12-Oct-22	Wyoming	Fremont	Fremont 02	WOAH Non-Poultry																																																																																																																																																																																																								30
11-Oct-22	Florida	Broward	Broward 01	WOAH Non-Poultry																																																																																																																																																																																																								40
11-Oct-22	Florida	Martin	Martin 01	WOAH Non-Poultry																																																																																																																																																																																																								50
11-Oct-22	Kentucky	Logan	Logan 01	WOAH Non-Poultry																																																																																																																																																																																																								190
11-Oct-22	Michigan	Lapeer	Lapeer 02	WOAH Poultry																																																																																																																																																																																							40																	
11-Oct-22	Pennsylvania	Adams	Adams 01	WOAH Poultry																																																																																																																																																																																																						"2,800"		
11-Oct-22	South Dakota	Gregory	Gregory 01	Commercial Upland Gamebird Producer																																																																																																												200																																																																																												
7-Oct-22	Arkansas	Madison	Madison 01	Commercial Broiler Breeder Pullets																													"56,000"																																																																																																																																																																											
7-Oct-22	Colorado	Boulder	Boulder 01	WOAH Poultry																																																																																																																																																																																							600																	
7-Oct-22	Kansas	Johnson	Johnson 01	WOAH Poultry																																																						6																																																																																																																																																		
7-Oct-22	Kansas	Neosho	Neosho 01	WOAH Poultry																																																																																																																																										"2,000"																																																														
7-Oct-22	Michigan	Lapeer	Lapeer 01	WOAH Poultry																																																																																																																																																																																							100																	
7-Oct-22	Minnesota	Pope	Pope 01	WOAH Non-Poultry																																																																																																																																																																																																								30
7-Oct-22	Utah	Sanpete	Sanpete 12	Commercial Turkey Meat Bird																																																																																																																																																																													"26,700"																											
7-Oct-22	Utah	Sanpete	Sanpete 13	Commercial Turkey Meat Bird																																			"38,900"																																																																																																																																																																					
6-Oct-22	Kentucky	Fayette	Fayette 01	WOAH Poultry																																																																																																																																																150																																																								
6-Oct-22	South Dakota	Brule	Brule 02	Commercial Upland Gamebird Producer																																																																																																																																																																																	500																							
6-Oct-22	Virginia	Hampton City	Hampton 01	WOAH Non-Poultry																																																																																																																																																																																																								40
5-Oct-22	Alaska	Matanuska Susitna	Matanuska-Susitna 02	WOAH Non-Poultry																																																																																																																																																																																																								40
5-Oct-22	Alaska	Matanuska Susitna	Matanuska-Susitna 03	WOAH Poultry																																																																																																																																																10																																																								
5-Oct-22	Connecticut	New Haven	New Haven 01	WOAH Non-Poultry																																																																																																																																																																																																								50
5-Oct-22	Montana	Glacier	Glacier 02	WOAH Non-Poultry																																																																																																																																																																																																								"1,100"
5-Oct-22	Pennsylvania	Berks	Berks 11	WOAH Non-Poultry																																																																																																																																																																																																								10
5-Oct-22	Pennsylvania	Monroe	Monroe 01	WOAH Non-Poultry																																																																																																																																																																																																								40
4-Oct-22	California	Del Norte	Del Norte 01	WOAH Poultry																																																																																																																																																																				"43,000"																																				
4-Oct-22	California	Monterey	Monterey 01	Commercial Duck Breeder																																																																																																																																																																																																	"15,100"							
4-Oct-22	Nebraska	Box Butte	Box Butte 01	WOAH Non-Poultry																																																																																																																																																																																																								100
4-Oct-22	Nebraska	York	York 01	Commercial Upland Gamebird Producer																																																																																																												"139,500"																																																																																												
4-Oct-22	New Mexico	Bernalillo	Bernalillo 01	WOAH Non-Poultry																																																																																																																																																																																																								40
4-Oct-22	Pennsylvania	Westmoreland	Westmoreland 01	WOAH Non-Poultry																																																																																																																																																																																																								160
3-Oct-22	California	Calaveras	Calaveras 01	WOAH Non-Poultry																																																																																																																																																																																																								20
3-Oct-22	California	Stanislaus	Stanislaus 01	Commercial Turkey Meat Bird																																																																																																																																										"51,000"																																																														
3-Oct-22	Michigan	Tuscola	Tuscola 01	WOAH Poultry																																																																																																					140																																																																																																			
3-Oct-22	Ohio	Portage	Portage 01	WOAH Non-Poultry																																																																																																																																																																																																								50
3-Oct-22	Utah	Cache	Cache 03	WOAH Non-Poultry																																																																																																																																																																																																								320
30-Sep-22	North Dakota	Nelson	Nelson 01	WOAH Non-Poultry																																																																																																																																																																																																								50
30-Sep-22	Oregon	Douglas	Douglas 01	WOAH Non-Poultry																																																																																																																																																																																																								30
29-Sep-22	Colorado	Mesa	Mesa 01	WOAH Non-Poultry																																																																																																																																																																																																								40
29-Sep-22	Pennsylvania	Lancaster	Lancaster 09	WOAH Non-Poultry																																																																																																																																																																																																								180
29-Sep-22	Pennsylvania	York	York 01	Commercial Turkey Meat Bird																																																																																																																																																																										"25,900"																														
29-Sep-22	Utah	Sanpete	Sanpete 10	Commercial Turkey Meat Bird																																																																																																																																																																																																	"19,300"							
29-Sep-22	Utah	Sanpete	Sanpete 11	Commercial Turkey Meat Bird																																																																																																																	"19,900"																																																																																							
29-Sep-22	Wisconsin	Dunn	Dunn 02	Commercial Turkey Meat Bird																																																																																																																																					"79,500"																																																																			
28-Sep-22	Oregon	Tillamook	Tillamook 01	WOAH Non-Poultry																																																																																																																																																																																																								10
28-Sep-22	Oregon	Tillamook	Tillamook 02	WOAH Non-Poultry																																																																																																																																																																																																								40
28-Sep-22	Utah	Sanpete	Sanpete 09	Commercial Turkey Meat Bird																																																																																																																																										"24,400"																																																														
28-Sep-22	Wisconsin	Racine	Racine 02	Commercial Duck Meat Bird																																																																	"10,000"																																																																																																																																							
27-Sep-22	Minnesota	Goodhue	Goodhue 01	WOAH Non-Poultry																																																																																																																																																																																																								80
27-Sep-22	North Dakota	Ransom	Ransom 01	Commercial Turkey Meat Bird																																																																																																																																																																																	"69,100"																							
27-Sep-22	Utah	Sanpete	Sanpete 07	Commercial Turkey Meat Bird																																																																							"127,200"																																																																																																																																	
27-Sep-22	Utah	Sanpete	Sanpete 08	Commercial Turkey Meat Bird																																																																																																																																																																																												"36,700"												
24-Sep-22	Delaware	Kent	Kent 02	WOAH Non-Poultry																																																																																																																																																																																																								10
24-Sep-22	Delaware	Kent	Kent 03	WOAH Non-Poultry																																																																																																																																																																																																								30
24-Sep-22	South Dakota	Mcpherson	McPherson 05	Commercial Turkey Meat Bird																																																																															"56,900"																																																																																																																									
24-Sep-22	Texas	Dallas	Dallas 01	WOAH Non-Poultry																																																																																																																																																																																																								60
23-Sep-22	New Hampshire	Merrimack	Merrimack 01	WOAH Poultry																																																							250																																																																																																																																																	
22-Sep-22	Maryland	Anne Arundel	Anne Arundel 01	WOAH Non-Poultry																																																																																																																																																																																																								4
22-Sep-22	Minnesota	Todd	Todd 07	WOAH Non-Poultry																																																																																																																																																																																																								50
22-Sep-22	North Dakota	Ward	Ward 01	WOAH Poultry																																				60																																																																																																																																																																				
22-Sep-22	South Dakota	Kingsbury	Kingsbury 03	WOAH Non-Poultry																																																																																																																																																																																																								250
21-Sep-22	Colorado	Weld	Weld 04	Commercial Table Egg Layer																													"1,150,000"																																																																																																																																																																											
21-Sep-22	Idaho	Gooding	Gooding 03	Commercial Upland Gamebird Producer																																																																																														"9,000"																																																																																																										
21-Sep-22	Minnesota	Otter Tail	Otter Tail 06	Commercial Turkey Meat Bird																																																																															"5,900"																																																																																																																									
21-Sep-22	Minnesota	Roseau	Roseau 01	Commercial Turkey Meat Bird																																																																																																																																																																																												"116,000"												
21-Sep-22	Utah	Sanpete	Sanpete 06	Commercial Turkey Meat Bird																																																																																																																		"11,100"																																																																																						
20-Sep-22	California	Fresno	Fresno 06	WOAH Non-Poultry																																																																																																																																																																																																								100
20-Sep-22	Minnesota	Brown	Brown 02	Commercial Turkey Meat Bird																																																							"43,000"																																																																																																																																																	
20-Sep-22	Minnesota	Stearns	Stearns 11	Commercial Turkey Meat Bird																																																																																								"64,600"																																																																																																																
20-Sep-22	Pennsylvania	Washington	Washington 01	WOAH Poultry																																																	"1,800"																																																																																																																																																							
20-Sep-22	South Dakota	Clark	Clark 04	Commercial Turkey Meat Bird																																																																								"41,700"																																																																																																																																
20-Sep-22	South Dakota	Clark	Clark 05	Commercial Turkey Meat Bird																																																																																																																									"23,900"																																																																															
20-Sep-22	Utah	Sanpete	Sanpete 05	Commercial Turkey Meat Bird																																																																																																																																																																																	"73,200"																							
19-Sep-22	Michigan	Macomb	Macomb 03	WOAH Non-Poultry																																																																																																																																																																																																								40
19-Sep-22	Nebraska	Dawes	Dawes 01	WOAH Non-Poultry																																																																																																																																																																																																								40
