annotated,common_name_correction,broad,order,
bottlenose dolphin,bottlenose_dolphin,dolphin,artiodactyla,
brahmachicken,brahma_chicken,chicken,galliformes,
brantgoose,brant_goose,goose,anseriformes,
breederchicken,breeder_chicken,chicken,galliformes,
breederduck,breeder_duck,duck,anseriformes,
brentgoose,brent_goose,goose,anseriformes,
Broiler chicken,broiler_chicken,chicken,galliformes,
broilerduck,broiler_duck,duck,anseriformes,
bronzeturkey,bronze_turkey,turkey,galliformes,
brown_headed_gull,brown-headed_gull,gull,charadriiformes,
brown_headedgull,brown-headed_gull,gull,charadriiformes,
brown-headedgull,brown-headed_gull,gull,charadriiformes,
brown-headgull,brown-headed_gull,gull,charadriiformes,
brownheadedgull,brown-headed_gull,gull,charadriiformes,
brown pelican,brown_pelican,pelican,pelecaniformes,
bucephala_albeola,bufflehead,duck,anseriformes,
bufflehead,bufflehead,duck,anseriformes,
buzzard,buzzard,raptor,accipitriformes,
cacklinggoose,cackling_goose,goose,anseriformes,
camel,camel,camel,Artiodactyla,
brantacanadensis,canada_goose,goose,anseriformes,
canada_goose,canada_goose,goose,anseriformes,
canadagoose,canada_goose,goose,anseriformes,
canine,canine,canine,carnivora,
canis_lupus_familiaris,canine,canine,carnivora,
dog,canine,canine,carnivora,
capeteal,capeteal,duck,anseriformes,
cape teal,cape_teal,duck,anseriformes,
cascadeduck,cascade_duck,duck,anseriformes,
caspiangull,caspian_gull,gull,charadriiformes,
caspian tern,caspian_tern,tern,charadriiformes,
Caspian Teal,caspian_teal,duck,anseriformes,
cat,cat,cat,carnivora,
Catalina macaw,catalina_macaw,parrot,psittaciformes,
cattleegret,cattle_egret,heron,pelecaniformes,
chestnutmunia,chestnut_munia,finch,passeriformes,
chestnut_teal,chestnut_teal,duck,anseriformes,
broiler,chicken,chicken,galliformes,
broilerchicken,chicken,chicken,galliformes,
ch,chicken,chicken,galliformes,
chicken,chicken,chicken,galliformes,
chickenl,chicken,chicken,galliformes,
chiken,chicken,chicken,galliformes,
ck,chicken,chicken,galliformes,
fancychicken,chicken,chicken,galliformes,
gallus_gallus,chicken,chicken,galliformes,
gallusgallus,chicken,chicken,galliformes,
hen,chicken,chicken,galliformes,
layer,chicken,chicken,galliformes,
layerchicken,chicken,chicken,galliformes,
layinghen,chicken,chicken,galliformes,
village_chicken,chicken,chicken,galliformes,
villagechicken,chicken,chicken,galliformes,
wild_chicken,chicken,chicken,galliformes,
chiloewigeon,chiloe_wigeon,duck,anseriformes,
chinesepondheron,chinese_pond_heron,heron,pelecaniformes,
chineseringneckpheasant,chineseringneckpheasant,pheasant,galliformes,
Chinese ringneck pheasant,chinese_ringneck_pheasant,pheasant,galliformes,
chukar,chukar,partridge,galliformes,
chukkar,chukar,partridge,galliformes,
anas_cyanoptera,cinnamon_teal,duck,anseriformes,
blackbird,common_blackbird,passerine,passeriformes,
buteobuteo,common_buzzard,raptor,accipitriformes,
commonbussard,common_buzzard,passerine,accipitriformes,
commonbuzzard,common_buzzard,passerine,accipitriformes,
commoncoot,common_coot,coot,gruiformes,
commoncrane,common_crane,crane,gruiformes,
commoneider,common_eider,duck,anseriformes,
common eider,common_eider,duck,anseriformes,
common eiders,common_eider,duck,anseriformes,
bucefala_clangula,common_goldeneye,duck,anseriformes,
common_goldeneye,common_goldeneye,duck,anseriformes,
commongoldeneye,common_goldeneye,duck,anseriformes,
commonmagpie,common_green_magpie,passerine,passeriformes,
commongull,common_gull,gull,charadriiformes,
laruscanus,common_gull,gull,charadriiformes,
hill_myna,common_hill_myna,passerine,passeriformes,
hillmyna,common_hill_myna,passerine,passeriformes,
commonkestral,common_kestrel,raptor,falconiformes,
commonkestrel,common_kestrel,raptor,falconiformes,
commonketrel,common_kestrel,raptor,falconiformes,
Common Loon,common_loon,loon,gaviiformes,
waterchicken,common_moorhen,moorhen,gruiformes,
commonmyna,common_myna,passerine,passeriformes,
commonpheasant,common_pheasant,pheasant,galliformes,
phasianuscolchicus,common_pheasant,pheasant,galliformes,
common_pochard,common_pochard,duck,anseriformes,
commonpochard,common_pochard,duck,anseriformes,
commonpochard,common_pochard,duck,anseriformes,
pochard,common_pochard,duck,anseriformes,
commonraven,common_raven,passerine,passeriformes,
common raven,common_raven,passerine,passeriformes,
melanitta_nigra,common_scoter,duck,anseriformes,
common_shelduck,common_shelduck,duck,anseriformes,
tadorna_tadorna,common_shelduck,duck,anseriformes,
commontern,common_tern,tern,charadriiformes,
common tern,common_tern,tern,charadriiformes,
columbapalumbus,common_wood_pigeon,pigeon,columbiformes,
condor,condor,raptor,charadriiformes,
coopershawk,coopers_hawk,raptor,accipitriformes,
Cooper's hawk,coopers_hawk,raptor,accipitriformes,
Cooper's s hawk,coopers_hawk,raptor,accipitriformes,
Cooper'ss hawk,coopers_hawk,raptor,accipitriformes,
coopers_hawk,coopers_hawk,raptor,accipitriformes,
coot,coot,coot,gruiformes,
cormorant,cormorant,cormorant,suliformes,
coyote,coyote,coyote,carnivora,
crane,crane,crane,gruiformes,
crested_eagle,crested_eagle,raptor,accipitriformes,
crestedeagle,crested_eagle,raptor,accipitriformes,
crestedgoshawk,crested_goshawk,raptor,accipitriformes,
crestedmyna,crested_myna,passerine,passeriformes,
ccrow,crow,crow,passeriformes,
crow,crow,crow,passeriformes,
curlew,curlew,wader,charadriiformes,
dalmatianpelican,dalmatian_pelican,pelican,pelecaniformes,
pelecanuscrispus,dalmatian_pelican,pelican,pelecaniformes,
daurianstarling,daurian_starling,passerine,passeriformes,
dolphin,dolphin,dolphin,Artiodactyla,
anasplatyrhynchosdomestica,domestic_duck,duck,anseriformes,
anasplatyrhynchosdomesticus,domestic_duck,duck,anseriformes,
anseranserdomesticus,domestic_goose,goose,anseriformes,
domestic_green-winged_teal,domestic_green-winged_teal,duck,anseriformes,
anas_platyrhynchos_var._domesticus,domestic_mallard,duck,anseriformes,
donkey,donkey,donkey,"	Perissodactyla",
double-crested_cormorant,double-crested_cormorant,cormorant,suliformes,
doublecrestedcormorant,double-crested_cormorant,cormorant,suliformes,
dove,dove,dove,columbiformes,
anas_sp.,duck,duck,anseriformes,
dack,duck,duck,anseriformes,
domestic_duck,duck,duck,anseriformes,
domesticduck,duck,duck,anseriformes,
duck,duck,duck,anseriformes,
duck_broiler,duck,duck,anseriformes,
duckbroiler,duck,duck,anseriformes,
migratoryduck,duck,duck,anseriformes,
wild_duck,duck,duck,anseriformes,
wildduck,duck,duck,anseriformes,
calidris_alpina,dunlin,wader,charadriiformes,
eagle,eagle,raptor,accipitriformes,
easternbuzzard,eastern_buzzard,raptor,accipitriformes,
eared grebe,eared_grebe,grebe,podicipediformes,
egret,egret,heron,pelecaniformes,
egyptiangoose,egyptiangoose,goose,anseriformes,
Egyptian goose,egyptian_goose,goose,anseriformes,
embdengoose,embden_goose,goose,anseriformes,
embden goose,embden_goose,goose,anseriformes,
chen_canagica,emperor_goose,goose,anseriformes,
emperor_goose,emperor_goose,goose,anseriformes,
emu,emu,emu,casuariiformes,
environment,environment,environment,environmen,
eq,equine,equine,equine,
equi_2,equine,equine,equine,
equine,equine,equine,equine,
equus_caballus,equine,equine,equine,
equus_ferus_caballus,equine,equine,equine,
horse,equine,equine,equine,
Eurasian_coot,eurasian_coot,coot,gruiformes,
eurasiancurlew,eurasian_curlew,wader,charadriiformes,
eagleowl,eurasian_eagle-owl,owl,strigiformes,
eurasian_eagle_owl,eurasian_eagle-owl,owl,strigiformes,
eurasianeagelowl,eurasian_eagle-owl,owl,strigiformes,
eurasianeagleowl,eurasian_eagle-owl,owl,strigiformes,
otusscops,eurasian_scops_owl,owl,strigiformes,
eurasiansparrowhawk,eurasian_sparrowhawk,raptor,accipitriformes,
eurasianspoonbill,eurasian_spoonbill,spoonbill,pelecaniformes,
common_teal,eurasian_teal,duck,anseriformes,
commonteal,eurasian_teal,duck,anseriformes,
eurasianteal,eurasian_teal,duck,anseriformes,
europeanteal,eurasian_teal,duck,anseriformes,
eurasianwigeon,eurasian_wigeon,duck,anseriformes,
europeanherringgull,european_herring_gull,gull,charadriiformes,
larus_argentatus,european_herring_gull,gull,charadriiformes,
larusargentatus,european_herring_gull,gull,charadriiformes,
exotic_brid,exotic_bird,avian,avian,
falcatedduck,falcated_duck,duck,anseriformes,
Fancy chicken,fancy_chicken,chicken,galliformes,
falcon,falcon,raptor,falconiformes,
cat,feline,feline,carnivora,
feline,feline,feline,carnivora,
felis_catus,feline,feline,carnivora,
ferret,ferret,ferret,carnivora,
finch,finch,passerine,passeriformes,
fowl,fowl,fowl,galliformes,
fox,fox,fox,carnivora,
fisher,fisher,fisher,carnivora,
Franklin's Gull,franklins_gull,gull,charadriiformes,
fish crow,fish_crow,crow,passeriformes,
wildfowl,fowl,fowl,galliformes,
gadwall,gadwall,duck,anseriformes,
gadwall_duck,gadwall,duck,anseriformes,
gadwallduck,gadwall,duck,anseriformes,
garganey,garganey,duck,anseriformes,
anas_querquedula,gargeny,duck,anseriformes,
glaucous_gull,glaucous-winged_gull,gull,charadriiformes,
glaucouswingedgull,glaucous-winged_gull,gull,charadriiformes,
larus_glaucescens,glaucous-winged_gull,gull,charadriiformes,
larus_hyperboreus,glaucous-winged_gull,gull,charadriiformes,
goldeneagle,golden_eagle,raptor,accipitriformes,
goldenmountainthrush,golden_mountain_thrush,passerine,passeriformes,
goldenpheasant,golden_pheasant,pheasant,galliformes,
goldeneyeduck,goldeneye,duck,anseriformes,
goosander,goosander,duck,anseriformes,
domesticgoose,goose,goose,anseriformes,
geese,goose,goose,anseriformes,
goose,goose,goose,anseriformes,
wildgeese,goose,goose,anseriformes,
wildgoose,goose,goose,anseriformes,
graygull,gray_gull,gull,charadriiformes,
Graylag Goose,graylag_goose,goose,anseriformes,
greatbarbet,great_barbet,barbet,piciformes,
greatblackbackedgull,great_black-backed_gull,gull,charadriiformes,
greatblackheadedgull,great_black-backed_gull,gull,charadriiformes,
great_cormorant,great_cormorant,cormorant,suliformes,
greatcormorant,great_cormorant,cormorant,suliformes,
phalacrocoraxcarbo,great_cormorant,cormorant,suliformes,
great_created_grebe,great_crested_grebe,grebe,podicipediformes,
great_crested_grebe,great_crested_grebe,grebe,podicipediformes,
greatcrested-grebe,great_crested_grebe,grebe,podicipediformes,
greatcrestedgrebe,great_crested_grebe,grebe,podicipediformes,
greatdrestedgrebe,great_crested_grebe,grebe,podicipediformes,
great_egret,great_egret,heron,pelecaniformes,
greategret,great_egret,heron,pelecaniformes,
greathornedowl,great_horned_owl,owl,strigiformes,
greattit,great_tit,passerine,passeriformes,
greatwhitepelican,great_white_pelican,pelican,pelecaniformes,
greatblueheron,great_blue_heron,heron,pelecaniformes,
Great Blue Heron,great_blue_heron,heron,pelecaniformes,
greaterscaup,greater_scaup,duck,anseriformes,
anser_albifrons,greater_white-fronted_goose,goose,anseriformes,
anseralbifrons,greater_white-fronted_goose,goose,anseriformes,
greaterwhitefrontedgoose,greater_white-fronted_goose,goose,anseriformes,
whitefrontedgoose,greater_white-fronted_goose,goose,anseriformes,
whitefrontgoose,greater_white-fronted_goose,goose,anseriformes,
great-tailed grackle,great_tailed_grackle,grackle,passeriformes,
grebe,grebe,grebe,podicipediformes,
greenheron,green_heron,heron,pelecaniformes,
greenpeafowl,green_peafowl,peafowl,galliformes,
americangreen_wingedteal,green-winged_teal,duck,anseriformes,
anas_carolinensis,green-winged_teal,duck,anseriformes,
anas_crecca,green-winged_teal,duck,anseriformes,
domestic_green_winged_teal,green-winged_teal,duck,anseriformes,
domesticgreen_wingedteal,green-winged_teal,duck,anseriformes,
domesticgreen-wingedteal,green-winged_teal,duck,anseriformes,
green-winged_teal(anas_crecca),green-winged_teal,duck,anseriformes,
greenwingedteal,green-winged_teal,duck,anseriformes,
gray-crowedcrane,grey_crowned_crane,crane,gruiformes,
greygoose,grey_goose,goose,anseriformes,
ardeacinera,grey_heron,heron,pelecaniformes,
ardeacinerea,grey_heron,heron,pelecaniformes,
grayheron,grey_heron,heron,pelecaniformes,
grey_heron,grey_heron,heron,pelecaniformes,
greyheron,grey_heron,heron,pelecaniformes,
grey_teal,grey-teal_duck,duck,anseriformes,
anseranser,greylag_goose,goose,anseriformes,
graylaggoose,greylag_goose,goose,anseriformes,
guinea_fowl,guinea_fowl,guinea_fowl,galliformes,
guineafowl,guinea_fowl,guinea_fowl,galliformes,
gull,gull,gull,charadriiformes,
seagull,gull,gull,charadriiformes,
grey seal,grey_seal,seal,carnivora,
harbor_seal,harbor_seal,seal,carnivora,
hawaiiangoose,hawaiian_goose,goose,anseriformes,
hawk,hawk,raptor,accipitriformes,
heron,heron,heron,pelecaniformes,
herringgull,herring_gull,gull,charadriiformes,
hooded_crane,hooded_crane,crane,gruiformes,
hoodedcrane,hooded_crane,crane,gruiformes,
hooded_merganser,hooded_merganser,duck,anseriformes,
hoodedvulture,hooded_vulture,raptor,accipitriformes,
hoabara,houbara_bustard,bustard,otidiformes,
houbarabustard,houbara_bustard,bustard,otidiformes,
housecrow,house_crow,crow,passeriformes,
housesparrow,house_sparrow,passerine,passeriformes,
indian_runner_duck,indian_runner_duck,duck,anseriformes,
indianrunnerduck,indian_runner_duck,duck,anseriformes,
japanese_white_eye,japanese_white-eye,passerine,passeriformes,
japanesewhite-eye,japanese_white-eye,passerine,passeriformes,
japanesewhiteeye,japanese_white-eye,passerine,passeriformes,
junglecrow,jungle_crow,passerine,passeriformes,
kalijpheasant,kalij_pheasant,pheasant,galliformes,
kaljipheasant,kalij_pheasant,pheasant,galliformes,
kestrel,kestrel,raptor,falconiformes,
korean_native_chicken,korean_native_chicken,chicken,galliformes,
korean_native_chicken,korean_native_chicken,chicken,galliformes,
ladyamherstspheasant,lady_amhersts_pheasant,pheasant,galliformes,
large_billedcrow,large-billed_crow,passerine,passeriformes,
large-billedcrow,large-billed_crow,passerine,passeriformes,
largebilledcrow,large-billed_crow,passerine,passeriformes,
larus_atricilla,laughing_gull,gull,charadriiformes,
leucophaeus_atricilla,laughing_gull,gull,charadriiformes,
lesserblackbackedgull,lesser_black-backed_gull,gull,charadriiformes,
lesserkestrel,lesser_kestrel,raptor,falconiformes,
lesser_scaup,lesser_scaup,duck,anseriformes,
lessersnowgoose,lesser_snow_goose,goose,anseriformes,
Lesser Snow Goose Blue,lesser_snow_goose,goose,anseriformes,
Lesser Snow Goose White,lesser_snow_goose,goose,anseriformes,
littlecuckoo-dove,little_cuckoo-dove,dove,columbiformes,
egrettagarzetta,little_egret,heron,pelecaniformes,
little_egret,little_egret,heron,pelecaniformes,
littleegret,little_egret,heron,pelecaniformes,
little_grebe,little_grebe,grebe,podicipediformes,
littlegrebe,little_grebe,grebe,podicipediformes,
tachybaptusruficollis,little_grebe,grebe,podicipediformes,
littleowl,little_owl,owl,strigiformes,
clangula_hyemalis,long-tailed_duck,duck,anseriformes,
long-tailedshrike,long-tailed_shrike,passerine,passeriformes,
longtail_duck,longtail-duck,duck,anseriformes,
magpie,magpie,passerine,passeriformes,
magpierobin,magpie-robin,passerine,passeriformes,
anas_plathyrhynchos,mallard,duck,anseriformes,
anas_platyrhynchos,mallard,duck,anseriformes,
anasplatyrhynchos,mallard,duck,anseriformes,
domesticmallard,mallard,duck,anseriformes,
domesticmallardduck,mallard,duck,anseriformes,
mallard,mallard,duck,anseriformes,
mallard_duck,mallard,duck,anseriformes,
mallard(anas_platyrhynchos),mallard,duck,anseriformes,
mallardduck,mallard,duck,anseriformes,
mallard-black_duck_hybrid,mallard-black_duck_hybrid,duck,anseriformes,
anas_platyrhynchos_x_anas_acuta,mallard-pintail_hybrid,duck,anseriformes,
mandarin_duck,mandarin_duck,duck,anseriformes,
mandarinduck,mandarin_duck,duck,anseriformes,
marabou_stork,marabou_stork,stork,ciconiiformes,
maraboustork,marabou_stork,stork,ciconiiformes,
Merganser,merganser,duck,anseriformes,
Mergus,merganser,duck,anseriformes,
migratorybird,migratory_bird,avian,avian,
mink,mink,mink,mink,
mixedwildbirds,mixed_wild_birds,avian,avian,
moorhen,moorhen,moorhen,gruiformes,
mountain_hawk_eagle,mountain_hawk-eagle,raptor,accipitriformes,
mountainhawk-eagle,mountain_hawk-eagle,raptor,accipitriformes,
mule_duck,mule_duck,duck,anseriformes,
munia,munia,passerine,passeriformes,
cairina_moschata,muscovy_duck,duck,anseriformes,
muscovy,muscovy_duck,duck,anseriformes,
muscovy_duck,muscovy_duck,duck,anseriformes,
muscovyduck,muscovy_duck,duck,anseriformes,
cignusolor,mute_swan,goose,anseriformes,
cygnus_olor,mute_swan,goose,anseriformes,
cygnusolor,mute_swan,goose,anseriformes,
mute_swan,mute_swan,goose,anseriformes,
muteswan,mute_swan,goose,anseriformes,
mynah,myna,passerine,passeriformes,
mynas,myna,passerine,passeriformes,
neotropiccormorant,neotropic_cormorant,cormorant,suliformes,
nightingale,nightingale,passerine,passeriformes,
morusbassanus,northern_gannet,gannet,suliformes,
northerngannet,northern_gannet,gannet,suliformes,
notherngannet,northern_gannet,gannet,suliformes,
goshawk,northern_goshawk,raptor,accipitriformes,
northerngoshawk,northern_goshawk,raptor,accipitriformes,
anas_acuta,northern_pintail,duck,anseriformes,
northen_pintail,northern_pintail,duck,anseriformes,
northernpintail,northern_pintail,duck,anseriformes,
pintail,northern_pintail,duck,anseriformes,
pintail_duck,northern_pintail,duck,anseriformes,
anas_clypeata,northern_shoveler,duck,anseriformes,
northernshoveler,northern_shoveler,duck,anseriformes,
shoveler,northern_shoveler,duck,anseriformes,
northwesterncrow,northwestern_crow,crow,passeriformes,
northwestern crow,northwestern_crow,crow,passeriformes,
babbler,old_world_babbler,passerine,passeriformes,
open-billibis,open-billed_ibis,ibis,pelecaniformes,
open_bill_stork,open-billed_stork,stork,ciconiiformes,
open_billed_stork,open-billed_stork,stork,ciconiiformes,
open_billedstork,open-billed_stork,stork,ciconiiformes,
open_billstork,open-billed_stork,stork,ciconiiformes,
open-billedstork,open-billed_stork,stork,ciconiiformes,
open-billstork,open-billed_stork,stork,ciconiiformes,
openbill,open-billed_stork,stork,ciconiiformes,
openbill_stork,open-billed_stork,stork,ciconiiformes,
openbillstork,open-billed_stork,stork,ciconiiformes,
magpie_robin,oriental_magpie-robin,passerine,passeriformes,
orientalmagpierobin,oriental_magpie-robin,passerine,passeriformes,
ostrich,ostrich,ostrich,struthioniformes,
osprey,osprey,raptor,accipitriformes,
owl,owl,owl,strigiformes,
oystercatcher,oystercatcher,wader,charadriiformes,
greyduck,pacific_black_duck,duck,anseriformes,
pacific_golden_plover,pacific_golden_plover,wader,charadriiformes,
psittacine,parrot,parrot,psittaciformes,
partridge,partridge,partridge,galliformes,
peacefuldove,peaceful_dove,dove,columbiformes,
peacock,peacock,peafowl,galliformes,
peafowl,peafowl,peafowl,galliformes,
white_peckin_duck,pekin_duck,duck,anseriformes,
white_peckin_duck,pekin_duck,duck,anseriformes,
pekingduck,pekin_duck,duck,anseriformes,
pelican,pelican,pelican,pelecaniformes,
falcoperegrinus,peregrine_falcon,raptor,falconiformes,
peregrine,peregrine_falcon,raptor,falconiformes,
peregrine_falcon,peregrine_falcon,raptor,falconiformes,
peregrinefalcon,peregrine_falcon,raptor,falconiformes,
Peruvian_pelican,peruvian_pelican,pelican,pelecaniformes,
peruvian_pelican,peruvian_pelican,pelican,pelecaniformes,
pet_bird,pet_bird,avian,avian,
phalacrocorax,phalacrocorax,cormorant,suliformes,
pheasant,pheasant,pheasant,galliformes,
feralpigeon,pigeon,pigeon,columbiformes,
pigeon,pigeon,pigeon,columbiformes,
pink-eared_duck,pink-eared_duck,duck,anseriformes,
anserbrachyrhynchus,pink-footed_goose,goose,anseriformes,
poultry,poultry,avian,avian,
coturnix,quail,quail,galliformes,
qu,quail,quail,galliformes,
quail,quail,quail,galliformes,
raccoon,raccoon,raccoon,carnivora,
red-billedstarling,read-breasted_starling,passerine,passeriformes,
red fox,red_fox,fox,carnivora,
calidris_canutus,red_knot,wader,charadriiformes,
knotwader,red_knot,wader,charadriiformes,
redknot,red_knot,wader,charadriiformes,
redbackedhawk,red-backed_hawk,raptor,accipitriformes,
rbpochard,red-chested_pochard,duck,anseriformes,
netta_rufina,red-crested_pochard,duck,anseriformes,
red_crested_pochard,red-crested_pochard,duck,anseriformes,
red-crested_pochard,red-crested_pochard,duck,anseriformes,
redcrownedcrane,red-crowned_crane,crane,gruiformes,
red-fronted_coot,red-fronted_coot,coot,gruiformes,
red-gartered_coot,red-gartered_coot,coot,gruiformes,
red-necked_grebe,red-necked_grebe,grebe,podicipediformes,
red-necked_stint,red-necked_stint,wader,charadriiformes,
redshoulderedhawk,red-shouldered_hawk,raptor,accipitriformes,
redtailedhawk,red-tailed_hawk,raptor,accipitriformes,
RT-Hawk,red-tailed_hawk,raptor,accipitriformes,
redbreastedmerganser,red_breasted_merganser,duck,anseriformes,
redhead,redhead_duck,duck,anseriformes,
rhea,rhea,rhea,rheiformes,
aythya_collaris,ring-necked_duck,duck,anseriformes,
ringneckedduck,ring-necked_duck,duck,anseriformes,
ring-necked_pheasant,ring-necked_pheasant,pheasant,galliformes,
ring-billed gull,ring-billed_gull,gull,charadriiformes,
robin,robin,passerine,passeriformes,
rollers,roller,roller,coraciiformes,
corvus_frugilegus,rook,passerine,passeriformes,
rook,rook,passerine,passeriformes,
rooster,rooster,chicken,galliformes,
roughleggedhawk,rough-legged_hawk,hawk,accipitriformes,
Ross's goose,rosss_goose,goose,anseriformes,
Royal Tern,royal_tern,tern,charadriiformes,
oxyura_jamaicensis,ruddy_duck,duck,anseriformes,
rubbyshelduck,ruddy_shelduck,duck,anseriformes,
ruddy_shelduck,ruddy_shelduck,duck,anseriformes,
ruddy_shelduck,ruddy_shelduck,duck,anseriformes,
ruddyshelduck,ruddy_shelduck,duck,anseriformes,
tadorna_feruginea,ruddy_shelduck,duck,anseriformes,
arenaria_interpres,ruddy_turnstone,wader,charadriiformes,
ruddyturnstone,ruddy_turnstone,wader,charadriiformes,
turnstone,ruddy_turnstone,wader,charadriiformes,
saker_falcon,saker_falcon,raptor,falconiformes,
sakerfalcon,saker_falcon,raptor,falconiformes,
calidris_alba,sanderling,wader,charadriiformes,
sanderling,sanderling,wader,charadriiformes,
sandpiper,sandpiper,wader,charadriiformes,
sandwichtern,sandwich_tern,tern,charadriiformes,
thalasseussandvicensis,sandwich_tern,tern,charadriiformes,
Sandhill Crane,sandhill_crane,crane,gruiformes,
scaly-breastedmunia,scaly-breasted_munia,passerine,passeriformes,
seaeagle,sea_eagle,raptor,accipitriformes,
seal,seal,seal,carnivora,
sebastopolgoose,sebastopol_goose,goose,anseriformes,
calidris_pusilla,semi-palmated_sandpiper,wader,charadriiformes,
semipalmated_sandpiper,semi-palmated_sandpiper,wader,charadriiformes,
Sharp-shinned Hawk,sharp-shinned_hawk,hawk,accipitriformes,
wedge-tailed_shearwater,shearwater,shearwater,procellariiformes,
shorebird,shorebird,wader,charadriiformes,
