Confirmed,State,County Name,Special Id,Production,1-Aug-22,1-Aug-24,1-Dec-22,1-Dec-23,1-Feb-23,1-Jul-22,1-Jul-24,1-Jun-22,1-Jun-23,1-Jun-24,1-Mar-23,1-May-22,1-Nov-22,1-Oct-22,2-Apr-22,2-Aug-24,2-Dec-22,2-Dec-23,2-Jan-24,2-Jul-22,2-Jun-22,2-Mar-23,2-May-22,2-Nov-22,2-Oct-22,2-Sep-22,3-Apr-23,3-Apr-24,3-Dec-22,3-Feb-23,3-Feb-24,3-Jan-23,3-Jan-24,3-Jun-22,3-Jun-24,3-Mar-23,3-May-22,3-May-24,3-Nov-22,3-Nov-23,3-Oct-22,4-Apr-22,4-Apr-23,4-Aug-22,4-Jan-23,4-Jun-22,4-Mar-23,4-May-22,4-May-23,4-Nov-22,4-Nov-23,4-Oct-22,4-Sep-22,5-Apr-22,5-Dec-22,5-Dec-23,5-Jan-23,5-Jan-24,5-Jul-22,5-Jul-24,5-Jun-22,5-Jun-24,5-Mar-23,5-Mar-24,5-May-22,5-May-24,5-Nov-22,5-Oct-22,6-Apr-22,6-Apr-23,6-Dec-22,6-Dec-23,6-Jan-24,6-Jul-22,6-Jul-24,6-Jun-22,6-Jun-24,6-May-22,6-Nov-22,6-Oct-22,6-Sep-22,7-Apr-22,7-Apr-23,7-Aug-22,7-Dec-22,7-Dec-23,7-Feb-24,7-Jun-22,7-Jun-24,7-May-22,7-Nov-22,7-Nov-23,7-Oct-22,7-Sep-22,8-Apr-23,8-Aug-22,8-Dec-23,8-Feb-24,8-Jun-22,8-Jun-24,8-Mar-23,8-Mar-24,8-May-22,8-Nov-22,8-Oct-22,8-Sep-22,9-Apr-23,9-Dec-22,9-Dec-23,9-Jun-22,9-Mar-23,9-May-22,9-Nov-22,9-Oct-22,9-Sep-22,10-Apr-23,10-Aug-22,10-Aug-24,10-Dec-22,10-Jan-23,10-Jan-24,10-Jun-22,10-Mar-24,10-May-22,10-Nov-22,10-Nov-23,10-Sep-22,11-Apr-22,11-Apr-23,11-Aug-22,11-Feb-24,11-Jul-24,11-Jun-22,11-Mar-22,11-Mar-24,11-May-22,11-Nov-22,11-Nov-23,11-Oct-22,12-Apr-22,12-Apr-23,12-Aug-24,12-Dec-22,12-Dec-23,12-Feb-23,12-Feb-24,12-Jul-24,12-Mar-22,12-Mar-24,12-May-22,12-Nov-22,12-Nov-23,12-Oct-22,13-Apr-22,13-Apr-23,13-Dec-22,13-Dec-23,13-Feb-23,13-Jan-23,13-Jan-24,13-Jul-22,13-May-22,13-May-23,13-Nov-22,13-Nov-23,13-Oct-22,14-Apr-22,14-Apr-23,14-Dec-22,14-Dec-23,14-Feb-24,14-Jan-23,14-Jul-22,14-Jul-23,14-Jul-24,14-Jun-22,14-Mar-24,14-Oct-22,14-Sep-22,15-Apr-22,15-Aug-22,15-Dec-23,15-Feb-24,15-Jan-23,15-Jun-22,15-Mar-22,15-May-22,15-Nov-22,15-Nov-23,15-Oct-22,15-Sep-22,16-Apr-23,16-Dec-22,16-Feb-23,16-Jan-24,16-Jun-22,16-Mar-24,16-May-22,16-Nov-22,16-Nov-23,17-Dec-23,17-Feb-24,17-Jan-23,17-Jan-24,17-Jul-24,17-Jun-22,17-Mar-22,17-Mar-23,17-May-22,17-Nov-22,17-Nov-23,17-Oct-22,18-Apr-22,18-Apr-23,18-Dec-23,18-Feb-23,18-Jan-23,18-Jan-24,18-Jul-22,18-Jul-24,18-Jun-22,18-Jun-24,18-Mar-22,18-May-22,18-Nov-22,18-Nov-23,18-Oct-22,19-Apr-22,19-Apr-23,19-Dec-22,19-Jan-23,19-Jan-24,19-May-22,19-Nov-22,19-Oct-22,19-Sep-22,20-Apr-22,20-Dec-22,20-Dec-23,20-Jan-23,20-Jan-24,20-Jul-22,20-Jun-24,20-May-22,20-Nov-22,20-Oct-22,21-Apr-22,21-Aug-24,21-Dec-23,21-Mar-23,21-Mar-24,21-May-22,21-May-24,21-Nov-22,21-Nov-23,21-Oct-22,21-Sep-22,22-Apr-22,22-Dec-22,22-Dec-23,22-Feb-23,22-Mar-23,22-May-22,22-Nov-22,22-Nov-23,22-Oct-22,22-Sep-22,23-Apr-22,23-Dec-23,23-Feb-23,23-Feb-24,23-Jan-23,23-Jun-22,23-Mar-22,23-May-22,23-May-24,23-Nov-23,24-Apr-22,24-Aug-22,24-Dec-22,24-Dec-23,24-Jan-23,24-Jan-24,24-Jun-22,24-Mar-24,24-May-22,24-Nov-22,24-Nov-23,24-Oct-22,24-Sep-22,25-Apr-22,25-Dec-22,25-Dec-23,25-Jan-24,25-Jun-22,25-May-22,25-May-24,25-Nov-22,25-Nov-23,25-Oct-22,26-Apr-22,26-Aug-22,26-Dec-22,26-Dec-23,26-Jan-23,26-Jan-24,26-Jul-24,26-Mar-23,26-May-22,26-Oct-22,26-Sep-22,27-Apr-22,27-Apr-23,27-Aug-24,27-Dec-22,27-Dec-23,27-Feb-22,27-Feb-24,27-Mar-22,27-May-22,27-Nov-22,27-Nov-23,27-Oct-22,27-Sep-22,28-Apr-22,28-Apr-23,28-Dec-22,28-Dec-23,28-Feb-24,28-Jan-23,28-Jul-22,28-Jun-22,28-Mar-22,28-May-22,28-Nov-22,28-Nov-23,28-Oct-22,28-Oct-23,28-Sep-22,29-Apr-22,29-Aug-22,29-Dec-22,29-Dec-23,29-Feb-24,29-Jan-24,29-Jul-22,29-May-24,29-Nov-22,29-Nov-23,29-Oct-22,29-Sep-22,30-Apr-22,30-Dec-22,30-Dec-23,30-Jun-22,30-May-24,30-Nov-23,30-Oct-22,30-Sep-22,31-Jan-23,31-Mar-22,31-Mar-23,31-May-22,31-Oct-22,Active,NA
7/19/24,Florida,Miami-dade,Miami-Dade 06,Live Bird Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320
7/16/24,Colorado,Weld,Weld 12,Commercial Table Egg Layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,313,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/24,Idaho,Twin Falls,Twin Falls 03,WOAH Non-Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
7/9/24,Minnesota,Kandiyohi,Kandiyohi 14,Commercial Turkey Breeder Toms,,,,,,,,,,,,,,,,"4,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/24,Minnesota,Kandiyohi,Kandiyohi 15,Commercial Turkey Breeder Hens,,"21,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/24,Minnesota,Renville,Renville 02,Commercial Turkey Breeder Hens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/24,Colorado,Weld,Weld 11,Commercial Table Egg Layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,790,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/24,Colorado,Morgan,Morgan 02,WOAH Non-Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
6/27/24,Minnesota,Otter Tail,Otter Tail 12,Commercial Turkey Meat Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/24,Minnesota,Swift,Swift 09,Commercial Turkey Meat Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
